y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Hydrogen fuel,,9.0,18.0,29.0,46.0,55.0,64.0,41.0,61.0,74.0,92.0,78.0,75.0,92.0,75.0,80.0,77.0,77.0,81.0,85.0,102.0,56.0
Lead-cooled fast reactor,,,,,,2.0,3.0,3.0,4.0,6.0,5.0,3.0,4.0,6.0,5.0,7.0,10.0,7.0,8.0,5.0,8.0,7.0
Liquid fluoride thorium reactor,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,
Liquid metal battery,,,,,,,,,,,,1.0,1.0,3.0,3.0,3.0,,4.0,3.0,6.0,,2.0
Lithium ion battery,,28.0,37.0,62.0,69.0,86.0,128.0,110.0,133.0,195.0,263.0,355.0,404.0,549.0,603.0,606.0,599.0,624.0,693.0,743.0,741.0,333.0
Lithium iron phosphate battery,,,,,,,,,2.0,,6.0,7.0,15.0,13.0,13.0,16.0,10.0,19.0,15.0,21.0,18.0,7.0
Lithium-air battery,,,,,1.0,,1.0,1.0,1.0,3.0,17.0,19.0,38.0,53.0,40.0,50.0,32.0,33.0,24.0,18.0,17.0,7.0
Lithium-sulfur battery,,,,,2.0,1.0,,,,2.0,4.0,1.0,10.0,7.0,11.0,13.0,23.0,30.0,31.0,27.0,32.0,14.0
Magnesium battery,,,1.0,1.0,,1.0,,1.0,,1.0,2.0,4.0,5.0,1.0,8.0,9.0,7.0,8.0,8.0,6.0,2.0,1.0
Microbial electrolysis cell,,,,,,,,,,4.0,4.0,9.0,5.0,12.0,11.0,8.0,19.0,15.0,22.0,19.0,25.0,11.0
Microreactor,,17.0,28.0,27.0,35.0,54.0,55.0,60.0,56.0,81.0,61.0,87.0,80.0,94.0,74.0,88.0,88.0,80.0,64.0,105.0,92.0,33.0
Mini Bioreactors,3.0,12.0,14.0,4.0,19.0,12.0,6.0,21.0,11.0,6.0,10.0,18.0,16.0,22.0,16.0,16.0,16.0,9.0,18.0,14.0,6.0,4.0
Modular Reactors,,,3.0,2.0,,,,1.0,,,3.0,11.0,8.0,9.0,18.0,10.0,17.0,18.0,16.0,13.0,23.0,9.0
Molten salt reactor,,3.0,8.0,2.0,6.0,6.0,5.0,6.0,11.0,13.0,8.0,9.0,15.0,21.0,21.0,25.0,29.0,23.0,30.0,26.0,38.0,26.0
