,created_at,id,id_str,text,truncated,entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,retweeted_status,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,possibly_sensitive,extended_entities
withheld_in_countries,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,[],,,,,,False,0,0,False,False,en,False,
hashtags,Wed Nov 02 14:00:35 +0000 2022,1587806884702060546,1587806884702060546,"Rejoignez-nous demain:

https://t.co/1chXr2os1L

#énergie #solaire #tunisie #maroc #algerie https://t.co/sthccsdGyE",False,"[{'text': 'énergie', 'indices': [49, 57]}, {'text': 'solaire', 'indices': [58, 66]}, {'text': 'tunisie', 'indices': [67, 75]}, {'text': 'maroc', 'indices': [76, 82]}, {'text': 'algerie', 'indices': [83, 91]}]",,"<a href=""https://publer.io"" rel=""nofollow"">Publer.io</a>",,,,,,,,,,,,False,0,0,False,False,fr,False,
symbols,Wed Nov 02 14:00:35 +0000 2022,1587806884702060546,1587806884702060546,"Rejoignez-nous demain:

https://t.co/1chXr2os1L

#énergie #solaire #tunisie #maroc #algerie https://t.co/sthccsdGyE",False,[],,"<a href=""https://publer.io"" rel=""nofollow"">Publer.io</a>",,,,,,,,,,,,False,0,0,False,False,fr,False,
user_mentions,Wed Nov 02 14:00:35 +0000 2022,1587806884702060546,1587806884702060546,"Rejoignez-nous demain:

https://t.co/1chXr2os1L

#énergie #solaire #tunisie #maroc #algerie https://t.co/sthccsdGyE",False,[],,"<a href=""https://publer.io"" rel=""nofollow"">Publer.io</a>",,,,,,,,,,,,False,0,0,False,False,fr,False,
urls,Wed Nov 02 14:00:35 +0000 2022,1587806884702060546,1587806884702060546,"Rejoignez-nous demain:

https://t.co/1chXr2os1L

#énergie #solaire #tunisie #maroc #algerie https://t.co/sthccsdGyE",False,"[{'url': 'https://t.co/1chXr2os1L', 'expanded_url': 'https://bit.ly/3rQBggX', 'display_url': 'bit.ly/3rQBggX', 'indices': [24, 47]}]",,"<a href=""https://publer.io"" rel=""nofollow"">Publer.io</a>",,,,,,,,,,,,False,0,0,False,False,fr,False,
media,Wed Nov 02 14:00:35 +0000 2022,1587806884702060546,1587806884702060546,"Rejoignez-nous demain:

https://t.co/1chXr2os1L

#énergie #solaire #tunisie #maroc #algerie https://t.co/sthccsdGyE",False,"[{'id': 1587806881669677057, 'id_str': '1587806881669677057', 'indices': [92, 115], 'media_url': 'http://pbs.twimg.com/media/FgkF8kHXgAEDIem.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FgkF8kHXgAEDIem.jpg', 'url': 'https://t.co/sthccsdGyE', 'display_url': 'pic.twitter.com/sthccsdGyE', 'expanded_url': 'https://twitter.com/solarabic/status/1587806884702060546/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 377, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 666, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1065, 'resize': 'fit'}}}]",,"<a href=""https://publer.io"" rel=""nofollow"">Publer.io</a>",,,,,,,,,,,,False,0,0,False,False,fr,False,"[{'id': 1587806881669677057, 'id_str': '1587806881669677057', 'indices': [92, 115], 'media_url': 'http://pbs.twimg.com/media/FgkF8kHXgAEDIem.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FgkF8kHXgAEDIem.jpg', 'url': 'https://t.co/sthccsdGyE', 'display_url': 'pic.twitter.com/sthccsdGyE', 'expanded_url': 'https://twitter.com/solarabic/status/1587806884702060546/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 377, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 666, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1065, 'resize': 'fit'}}}]"
iso_language_code,Wed Nov 02 14:00:35 +0000 2022,1587806884702060546,1587806884702060546,"Rejoignez-nous demain:

https://t.co/1chXr2os1L

#énergie #solaire #tunisie #maroc #algerie https://t.co/sthccsdGyE",False,,fr,"<a href=""https://publer.io"" rel=""nofollow"">Publer.io</a>",,,,,,,,,,,,False,0,0,False,False,fr,False,
result_type,Wed Nov 02 14:00:35 +0000 2022,1587806884702060546,1587806884702060546,"Rejoignez-nous demain:

https://t.co/1chXr2os1L

#énergie #solaire #tunisie #maroc #algerie https://t.co/sthccsdGyE",False,,recent,"<a href=""https://publer.io"" rel=""nofollow"">Publer.io</a>",,,,,,,,,,,,False,0,0,False,False,fr,False,
id,Wed Nov 02 14:00:35 +0000 2022,1587806884702060546,1587806884702060546,"Rejoignez-nous demain:

https://t.co/1chXr2os1L

#énergie #solaire #tunisie #maroc #algerie https://t.co/sthccsdGyE",False,,,"<a href=""https://publer.io"" rel=""nofollow"">Publer.io</a>",,,,,,1066736605988380673,,,,,,False,0,0,False,False,fr,False,
id_str,Wed Nov 02 14:00:35 +0000 2022,1587806884702060546,1587806884702060546,"Rejoignez-nous demain:

https://t.co/1chXr2os1L

#énergie #solaire #tunisie #maroc #algerie https://t.co/sthccsdGyE",False,,,"<a href=""https://publer.io"" rel=""nofollow"">Publer.io</a>",,,,,,1066736605988380673,,,,,,False,0,0,False,False,fr,False,
